0.000000000,e6
-0.157338000,67
0.043709000,4e
-0.936693000,eb
-0.408342000,df
0.675209000,32
-0.448637000,da
0.563085000,86
-0.181261000,7e
-0.428558000,4d
-0.750515000,18
-0.848444000,1c
-0.276756000,2e
-0.576186000,e9
0.620047000,35
-0.684403000,6f
-0.588335000,5c
0.030912000,f4
-0.388421000,71
-0.223720000,10
-0.719082000,2e
-0.872607000,e5
0.679520000,83
-0.135796000,94
0.671437000,cc
0.423595000,f4
-0.703935000,b0
0.547919000,cb
0.566806000,9c
-0.168125000,4c
0.479075000,99
0.411689000,0c
0.111465000,eb
-0.043712000,ee
0.175478000,f9
-0.488388000,46
0.443590000,05
-0.255249000,02
-0.080938000,a5
0.151172000,21
-0.712683000,e3
0.716154000,37
-0.172258000,5c
-0.805304000,bc
0.230882000,5c
0.571366000,ec
0.164607000,81
-0.095996000,66
0.019331000,a8
-0.821356000,9e
-0.887798000,eb
-0.068972000,ec
-0.124183000,6e
0.395549000,74
0.275377000,29
0.035457000,64
0.767652000,46
-0.693052000,98
-0.260360000,04
0.728235000,7b
0.743925000,e8
-0.730703000,66
-0.475476000,3d
-0.264057000,f7
-0.856713000,e8
0.091558000,ff
0.279334000,62
-0.555542000,8f
0.004308000,b1
0.139430000,6f
0.172226000,13
0.540542000,ec
0.451712000,02
0.532245000,5b
0.303812000,ae
-0.842963000,a5
-0.680357000,26
-0.060974000,27
0.131201000,f1
0.644665000,f0
0.739626000,e0
0.543953000,42
0.607722000,43
-0.199323000,32
-0.940767000,e6
-0.455398000,70
-0.020299000,25
-0.830238000,e8
0.200584000,56
0.340170000,c0
-0.540973000,a2
-0.916291000,a4
0.431771000,b2
-0.035619000,9a
-0.960721000,a5
0.776292000,8d
-0.480047000,7a
-0.140238000,f1
-0.903052000,e8
0.528111000,ab
0.107249000,e5
-0.164760000,23
-0.572177000,e1
0.103018000,69
-0.380063000,61
0.271311000,39
-0.907200000,b2
-0.072951000,2d
0.656689000,bf
-0.776263000,24
-0.764085000,ef
-0.417172000,f2
-0.767682000,e0
0.252542000,4c
0.225341000,8b
-0.528487000,67
0.063439000,e2
-0.191254000,30
0.295667000,91
0.467893000,3a
-0.688086000,db
-0.246775000,08
0.195977000,a2
